Tempo (ms),(B) INTERCEPT_ORIG_TEMPO,(C) TVD (metros),(A) PSTM_COR
912,0.0,780.7850272,-3929.8635254
916,0.0,784.5530825,338.1147461
920,0.0,788.3256604,4579.9921875
924,0.0,792.1027662,5789.6757813
928,0.0,795.8844054,2601.979248
932,0.0,799.6706434,-2940.5693359
936,0.0,803.4613669,-5201.078125
940,0.0,807.2566391,-1326.9101563
944,0.0,811.0564664,2764.8803711
948,0.0,814.8608545,1082.9577637
952,0.0,818.6698086,-3523.4348145
956,0.0,822.4833345,-5850.828125
960,0.0,826.3014374,-5610.0117188
964,0.0,830.124123,-5388.5351563
968,-1e-07,833.9513968,-3649.5742188
972,0.0,837.7832641,3818.5617676
976,0.0,841.6197306,11244.0
980,1e-07,845.4608017,8769.8554688
984,1e-07,849.306483,1484.1276855
988,1e-07,853.15678,-243.6213989
992,0.0,857.0116983,1198.1472168
996,-1e-07,860.8712433,-403.3425293
1000,-1e-07,864.7354207,-2668.1728516
1004,-1e-07,868.604236,-369.9084473
1008,0.0,872.4776948,3697.954834
1012,0.0,876.3558026,1182.3876953
1016,1e-07,880.2385651,-7764.2109375
1020,0.0,884.1259878,-11019.828125
1024,0.0,888.0180762,-119.1440735
1028,0.0,891.9148361,16111.9257813
1032,0.0,895.8162731,20179.671875
1036,0.0,899.7223926,5545.6640625
1040,0.0,903.6332004,-15814.9804688
1044,0.0,907.5487021,-24377.4257813
1048,0.0,911.4689033,-13661.2734375
1052,0.0,915.3938096,2326.3540039
1056,0.0,919.3234268,7367.3242188
1060,0.0,923.2577604,3611.0966797
1064,0.0,927.1968161,5461.2148438
1068,0.0,931.1405996,14354.0742188
1072,0.0,935.0891166,15968.46875
1076,0.0,939.0423727,6196.453125
1080,1e-07,943.0003736,-3392.1542969
1084,1e-07,946.9631249,-8091.0117188
1088,0.0,950.9306326,-12887.8515625
1092,0.0,954.9029022,-15109.9648438
1096,0.0,958.8799394,-7961.0664063
1100,0.0,962.86175,3480.4511719
1104,0.0,966.8483398,9015.8671875
1108,0.0,970.8396532,7449.2226563
1112,0.0,974.8358183,2669.512207
1116,0.0,978.8367796,-2322.795166
1120,0.0,982.8425431,-5054.5
1124,0.0,986.8531144,-5834.8164063
1128,-1e-07,990.8684994,-6232.3320313
1132,0.0,994.8887037,-3919.0722656
1136,0.0,998.9137332,3899.2438965
1140,1e-07,1002.9435937,12130.9609375
1144,1e-07,1006.9782909,11687.2773438
1148,1e-07,1011.0178307,3333.7651367
1152,0.0,1015.0622188,-3759.973877
1156,-1e-07,1019.1114611,-6185.7617188
1160,-1e-07,1023.1655317,-5557.4609375
1164,0.0,1027.2244799,-1008.3217773
1168,0.0,1031.2883604,5186.8398438
1172,1e-07,1035.3570575,6150.234375
1176,0.0,1039.4306437,1309.2438965
1180,0.0,1043.5091794,-3968.5686035
1184,0.0,1047.5925162,-6924.9648438
1188,0.0,1051.6807519,-6516.7460938
1192,0.0,1055.7739518,-2788.8652344
1196,0.0,1059.8720662,1190.203125
1200,0.0,1063.9750708,2385.6035156
1204,0.0,1068.0830473,1544.7214355
1208,1e-07,1072.1958959,2776.1289063
1212,0.0,1076.3137423,6642.046875
1216,-1e-07,1080.4364746,7256.796875
1220,-1e-07,1084.5641252,2655.486084
1224,-1e-07,1088.6967913,-2072.4147949
1228,0.0,1092.8344231,-4596.8789063
1232,1e-07,1096.9769789,-5778.25
1236,0.0,1101.1245858,-5149.9257813
1240,0.0,1105.2770844,-2791.0749512
1244,0.0,1109.4346116,23.8464203
1248,0.0,1113.5971526,1868.3999023
1252,0.0,1117.7645893,2121.5888672
1256,0.0,1121.9370905,1776.8684082
1260,0.0,1126.1145715,1330.3039551
1264,0.0,1130.2971316,76.7425842
1268,1e-07,1134.4847094,-1372.7741699
1272,1e-07,1138.6772563,-1639.6105957
1276,0.0,1142.8748357,-1636.8034668
1280,-1e-07,1147.0774584,-3530.045166
1284,0.0,1151.2851257,-6032.8125
1288,0.0,1155.4978644,-4911.1289063
